node/volume,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
2001,-2.812434,5.937167,20.778987,30.85056,25.734057,5.760197,-16.619139,-26.454786,-18.345122,-0.164367,14.220289,16.06191,7.072175,-4.331208,-10.999611,-11.794288,-10.000344,-8.587238,-7.619378,-5.735348,-2.870226,-0.492279,0.721601,2.235765,5.598268,9.290073,9.104627,2.83475,-5.891481,-10.059355,-6.441755,0.474332,3.104541,-0.592843,-4.457326,-1.154094,8.865082,17.090685,16.111109,7.694202,0.38124,-0.395,2.133837,1.087703,-5.191525,-11.434964,-12.461729,-9.463532,-7.530192,-8.132193,-6.945754,-0.234161,8.680104,12.040244,6.911558,-0.543316,-1.820397,3.871018,8.591998,5.22442,-3.902728,-9.76046,-7.24979,-0.669487,2.386382,0.679965,0.300177,5.849257,13.190323,13.32867,3.204453,-9.615937,-14.366064,-8.350208,0.679056,3.378783,-1.4261,-6.732942,-6.120568,-0.743827,2.915354,0.985017,-3.618686,-4.999237,-1.042739,4.509894,6.315616,2.732225,-3.333574,-7.931606,-9.395917,-8.24969,-4.97065,0.938621,9.396773,17.986895,22.726267,21.151445,14.66241,7.536226,3.309586,1.892708,0.122039,-4.805696,-12.25773,-18.319166,-19.097009,-14.273722,-7.728389,-4.47516,-6.330481,-10.066698,-10.049512,-3.531269,6.073195,11.520018,8.34434,-0.243797,-5.517066,-1.306082,9.585097,17.481631,15.054278,4.566635,-4.414053,-4.561244,2.4348,8.754362,9.160967,5.513701,2.512076,0.694649,-4.217844,-14.655023,-25.63416,-27.88138,-16.960348,1.623638,17.019041,22.22409,18.324643,10.730988,3.317193,-2.878653,-6.881643,-6.561948,-1.378936,5.041673,7.243328,3.539343,-1.743873,-2.705682,1.562596,5.668089,3.492249,-5.303147,-14.605484,-17.421078,-11.975667,-2.852095,3.177783,2.607213,-2.356995,-5.924489,-3.757837,2.969849,8.249698,6.897274,0.370497,-3.604636,1.424658,13.012909,20.790414,16.350112,2.196774,-10.150811
2002,1.800105,11.979962,19.827561,17.620667,5.831927,-7.852033,-16.839205,-21.404874,-25.624096,-30.14342,-30.241753,-21.627044,-6.724083,6.27788,10.619465,6.490098,-0.349842,-4.147999,-2.85362,2.344272,9.135006,15.320689,19.438296,21.596471,23.38846,25.648404,26.023163,20.165346,6.738653,-9.075941,-18.66573,-17.615428,-9.933716,-4.027707,-4.650619,-9.379376,-12.621302,-11.652146,-7.964581,-3.913236,-0.122451,3.294616,4.731618,2.282415,-3.164762,-7.841669,-9.180467,-8.956188,-10.704291,-14.078982,-13.740759,-5.393971,7.817493,17.016228,16.577934,10.235364,6.711241,9.520614,12.901728,8.965777,-2.150059,-11.221586,-9.619752,1.209814,11.309974,12.943573,8.182279,4.973502,6.821487,8.489694,2.823039,-9.434629,-18.683717,-16.126752,-3.454398,8.43251,10.529174,4.515281,-0.346563,1.563605,5.731266,3.138518,-8.494143,-20.905207,-23.591759,-15.036782,-4.267938,-1.145375,-6.494286,-12.890446,-14.111527,-11.322787,-8.873468,-6.116817,2.989374,20.724263,38.39296,42.088085,27.308636,6.132075,-2.997886,6.342888,21.500204,23.329039,5.735092,-18.172861,-29.437953,-21.796333,-6.44893,0.628547,-5.372441,-14.972423,-15.694314,-4.978171,8.038291,12.218338,4.991745,-6.155033,-11.456347,-7.6982,-0.095256,3.564491,0.345353,-5.701291,-8.053728,-3.956404,3.738349,10.318875,13.859606,15.535411,15.837545,12.108346,1.379108,-14.251869,-26.493405,-26.728668,-13.678613,4.924406,18.424164,21.035984,14.377892,4.044704,-4.875824,-9.466143,-8.683679,-3.585929,2.30281,4.839974,2.981785,0.274475,1.350246,6.563306,10.969154,9.380093,2.078315,-5.270003,-7.3704,-4.29361,-0.645964,-0.668521,-4.809352,-10.359304,-13.985127,-13.442512,-8.485688,-1.734814,1.956416,-0.627768,-6.481553,-7.082092,3.690019,21.468067,32.962736,27.78736,9.094095,-8.736886
2101,3.981807,11.851209,20.611212,24.233606,18.307379,5.248548,-6.039939,-7.102724,2.387933,13.650384,15.989491,5.806296,-10.763874,-23.67471,-27.418654,-24.292906,-20.24724,-18.294221,-16.176499,-10.004875,0.567773,11.167775,16.482572,14.891883,9.41817,4.599964,2.828584,3.477068,4.698245,5.264611,4.734992,2.790037,-0.61724,-4.348855,-6.073778,-3.970097,1.401338,7.2817,11.032946,12.140278,11.727758,10.345451,6.875559,0.046287,-9.204903,-17.474449,-21.321947,-19.834785,-14.669187,-7.933032,-0.704775,6.178359,10.69059,10.307517,4.87221,-1.685104,-3.722994,1.036283,8.729956,12.280644,7.780104,-1.741403,-8.950549,-8.787794,-2.710197,3.193717,3.969638,-0.188228,-4.969381,-6.227836,-3.182826,1.81241,5.678489,6.567643,4.251172,-0.301681,-5.256989,-8.311235,-7.651247,-3.160133,3.14748,8.007809,8.60884,4.159141,-3.38087,-9.876121,-11.143366,-5.878771,2.801613,9.272248,9.945602,6.377729,3.404795,3.802721,5.293444,3.677943,-1.235743,-4.248029,-0.504729,7.862667,12.557189,7.582756,-3.902572,-12.5719,-12.758716,-7.885342,-5.369522,-7.594927,-10.147076,-8.978143,-6.405561,-7.305091,-10.348845,-7.161135,6.986021,23.448402,25.80214,7.681082,-16.981382,-25.403471,-9.036342,16.713163,27.856617,16.309255,-2.969522,-9.313936,1.789195,16.144942,18.45637,8.585936,-1.327426,-3.053532,-1.237249,-5.284737,-15.678631,-22.124811,-15.532526,0.912016,14.451892,15.431796,5.483721,-6.308055,-12.724206,-12.661731,-8.390036,-2.179932,3.416788,4.702982,-0.437375,-8.591105,-12.059415,-6.211522,4.713708,10.914872,6.985602,-2.123209,-5.918909,1.020428,13.754653,22.007018,19.667332,9.342194,-1.233768,-6.140396,-5.152158,-2.469922,-2.607804,-6.737576,-11.67247,-12.258007,-5.961122,3.931259,10.151254,7.755458,-0.854221,-7.782117
2102,4.374749,10.315288,12.623702,7.472763,-2.534656,-10.088114,-10.196961,-4.935628,-0.772227,-1.799393,-6.427185,-10.344193,-11.223984,-9.772105,-7.390966,-4.778957,-3.068075,-4.316944,-8.826086,-12.301799,-8.119556,5.664889,21.978539,29.329755,22.104088,6.246703,-5.815586,-5.992902,3.569388,14.305221,19.424414,18.066525,13.053091,6.844884,0.462468,-4.988769,-7.672659,-6.602368,-3.257805,-0.932982,-2.368971,-7.98197,-15.849062,-22.817016,-25.930154,-23.976928,-18.511116,-12.959553,-9.655738,-7.38494,-2.559228,6.486622,16.701057,22.723044,22.324223,18.682615,16.541297,16.583033,14.849838,8.201887,-0.6836,-5.212858,-2.110869,4.183647,5.360291,-2.430988,-14.512214,-21.932936,-19.348891,-8.774716,3.33097,11.469095,13.827777,11.487078,6.71751,2.085762,-0.382977,-0.603616,-0.841054,-3.505712,-7.94886,-10.257431,-7.416807,-1.719611,0.236287,-5.820133,-16.245126,-21.638423,-15.547147,-1.046377,11.844951,15.468762,11.025331,5.896698,5.310865,7.53449,7.270648,2.732505,-1.719883,-0.047143,8.975924,19.895109,24.677526,18.568905,3.151262,-14.549116,-25.640984,-24.253376,-11.914272,1.966118,6.117479,-3.000544,-16.650452,-20.634485,-8.908329,9.321065,17.616772,8.608375,-8.154244,-15.647297,-6.646695,9.368002,16.77159,10.054741,-1.545767,-4.89611,3.540023,15.672219,21.307612,17.31121,7.50678,-3.465658,-13.515484,-21.09142,-23.167782,-17.57562,-6.62878,3.633939,8.406079,7.299302,2.443908,-4.595031,-12.076526,-15.418098,-9.097252,6.245051,20.272462,20.633444,6.247501,-8.971051,-8.847838,7.827762,24.718368,24.198324,5.574797,-14.351388,-18.68417,-6.758397,7.226486,9.717303,-0.175434,-13.083425,-20.121609,-19.140857,-12.513621,-3.011697,6.485944,11.908857,10.375044,4.293659,0.558719,3.528293,9.547402,10.534784,3.38099,-5.958908
2111,4.795825,10.590521,15.43591,17.360184,14.814447,7.159062,-3.85952,-13.572543,-17.175653,-14.3086,-10.146556,-10.30279,-14.335579,-15.81999,-10.125945,-1.158166,1.966723,-4.20755,-11.793824,-9.200609,5.412801,20.575414,23.162914,12.716122,1.857381,1.919625,10.305739,14.33345,6.954105,-4.406393,-6.561316,3.376389,13.716405,11.147353,-3.81298,-16.690884,-14.619946,-0.290184,10.934866,7.164433,-8.174755,-20.685142,-19.696773,-7.576261,4.669748,8.936709,6.204178,2.571057,1.537962,1.400501,-0.679647,-4.005025,-4.851735,-1.177291,4.356902,6.696682,3.455694,-2.809918,-7.287688,-7.291276,-3.767776,0.802577,4.847067,7.751673,8.598932,6.400857,1.970773,-1.605078,-1.710161,0.622239,1.521687,-0.981008,-3.905769,-2.514522,3.288703,7.351023,3.643876,-6.051589,-12.617661,-8.908744,2.086109,9.733782,6.609597,-4.101469,-12.476388,-12.107694,-5.377131,0.879216,2.938605,2.41619,2.393472,3.699881,5.555413,7.989731,11.627993,15.313845,15.864333,11.303397,3.555568,-3.257913,-7.035038,-9.184483,-11.885323,-15.150604,-17.383543,-17.748993,-16.383502,-12.577912,-5.001928,4.989445,12.008273,11.445273,5.920245,4.022508,10.129452,16.855508,11.555846,-7.927649,-26.699666,-25.915148,-3.153182,23.032704,31.063421,17.705146,-0.606736,-6.972573,-1.023937,4.867468,3.035376,-0.924075,2.006295,10.364163,12.942159,3.136539,-11.856346,-18.925067,-14.002152,-5.505192,-2.882299,-5.589931,-6.086207,-1.509955,2.154267,-1.254759,-8.731523,-11.064289,-4.53041,3.989696,5.308117,-0.911963,-6.223057,-4.208658,1.917586,4.171447,0.267088,-3.663931,-0.834354,8.334995,17.562847,22.116111,22.303133,19.923416,14.412738,4.693968,-6.581594,-13.757385,-14.081322,-10.971726,-9.654224,-10.519375,-9.120517,-3.092342,3.27896,3.485635,-2.937722,-8.997718
2112,6.776473,10.526914,13.995772,16.834089,16.092064,8.5596,-4.293359,-15.189891,-16.866344,-9.555861,-1.569982,-1.320135,-8.907282,-16.469506,-16.96498,-11.653104,-8.064543,-10.974712,-16.576317,-16.228339,-5.578363,10.614066,22.581268,23.953087,16.309866,6.576049,0.976074,1.337165,5.845982,11.856085,17.441712,20.937336,20.271042,13.844852,2.486888,-9.780982,-17.683734,-18.182462,-12.511249,-4.952442,0.292193,1.152954,-2.495815,-9.552693,-17.24578,-20.83505,-16.1473,-4.208483,7.291651,9.60334,1.633472,-7.688952,-7.653111,3.065321,14.724456,16.974298,9.951256,3.100745,3.134313,5.921822,2.656258,-7.234812,-13.277005,-6.221606,9.007389,16.643022,7.638849,-8.733183,-13.921289,-0.568141,18.771886,24.82243,11.844813,-7.442425,-16.520098,-11.725254,-3.054016,-0.901166,-5.545667,-10.029933,-9.941415,-7.242068,-5.399038,-4.415886,-2.473202,-0.333353,-0.915381,-4.202781,-5.251788,0.604733,11.349373,19.18302,18.365631,10.871219,3.507847,0.61953,1.089408,1.899771,2.311531,3.384759,4.901685,4.954705,2.602448,-0.988531,-4.930546,-10.430822,-18.106541,-24.054649,-21.61892,-9.043172,6.046385,12.697044,7.941305,0.095855,-0.885087,4.854207,7.553428,0.438204,-10.801057,-13.680945,-3.473731,10.703226,15.662941,8.355669,-1.769768,-4.017505,2.545703,10.333302,13.15941,11.89702,10.298927,8.447793,3.103399,-6.218074,-14.501313,-16.050039,-10.749892,-3.849444,0.018672,0.741744,0.37934,-0.857371,-4.08422,-7.847084,-7.652534,-1.251206,6.786144,8.358547,0.679297,-9.522857,-12.282832,-4.885531,5.04508,7.396704,-0.152973,-10.161846,-13.022421,-5.639389,6.988971,17.110096,20.12889,16.348824,9.132019,2.454289,-0.763028,0.182758,3.367972,5.512376,4.498464,0.888812,-3.12815,-6.069484,-8.048371,-9.49335,-9.794928,-7.911005
2201,3.028326,10.152654,19.846714,25.340464,20.366134,5.538351,-10.576512,-17.759751,-12.754494,-2.320041,2.536384,-3.703856,-16.247501,-24.695925,-22.898369,-14.405379,-8.136368,-8.741874,-11.758779,-8.760787,3.001579,17.009094,23.949915,21.118919,14.353074,10.701222,10.658806,9.023242,2.896507,-3.365421,-2.763093,5.478889,13.682566,13.373355,4.243455,-5.855165,-9.62721,-7.459672,-5.125003,-5.84675,-6.895282,-4.486638,-0.017658,0.833433,-4.792581,-12.74779,-16.203383,-13.325756,-8.796947,-7.351455,-7.581322,-3.985439,5.198763,14.403114,16.436815,10.971336,5.389116,6.471976,12.499303,15.151164,9.168102,-1.430785,-7.758916,-5.893674,-0.759478,0.148123,-4.427779,-8.414482,-5.946371,1.608954,7.302181,6.633183,2.280867,0.124999,1.702368,2.404833,-2.35237,-10.527135,-14.691981,-10.159908,-0.698317,4.996803,2.370625,-4.45721,-7.625179,-4.154194,1.447461,3.136157,0.584842,-0.680511,3.818295,11.741143,15.942909,11.937764,2.512,-5.274194,-6.972131,-4.076721,-1.002163,0.050587,0.536059,2.435176,4.878241,4.651449,-0.01637,-6.714898,-10.393824,-7.984777,-1.671492,2.636894,0.735138,-5.389753,-8.715361,-3.851542,6.67564,13.317888,8.167002,-6.307963,-17.767937,-14.782803,1.907466,19.147993,23.166031,12.060401,-3.302782,-10.338426,-6.03372,2.454893,6.735161,4.961644,0.937373,-2.181091,-5.011865,-8.915221,-12.107381,-10.749187,-3.739075,5.085328,10.292462,9.792547,5.865691,1.99755,-0.068707,-0.227994,1.271365,3.515415,3.957862,-0.103294,-7.881077,-13.967799,-12.791663,-4.831297,2.749185,2.932613,-3.711955,-9.267191,-6.447597,4.128809,14.817779,18.385979,13.970278,6.337684,0.778153,-0.712705,0.469237,1.410321,-0.481966,-5.78665,-11.76828,-13.384803,-7.508041,2.9571,10.226253,8.490137,-0.089426,-7.156857
2202,10.519333,15.218789,18.913665,18.403685,10.691276,-3.520267,-19.204924,-30.399976,-34.332841,-32.544105,-28.686886,-25.567299,-23.666885,-21.542045,-17.516602,-11.706287,-6.641339,-4.937649,-5.367457,-1.96412,10.762808,30.379376,45.497207,44.801757,28.458367,9.599718,2.949638,11.72559,26.338332,35.399595,36.033692,32.518979,27.145476,16.322766,-2.857886,-24.863319,-38.252272,-36.885206,-26.557771,-18.821062,-19.254405,-23.786308,-26.038851,-25.132865,-24.281713,-23.823038,-19.762708,-10.450919,-1.532872,-0.554954,-6.809314,-10.046676,-1.508498,15.493973,28.946443,31.8457,29.186683,29.351978,31.32537,25.305575,7.189722,-11.828191,-15.127075,-0.356889,15.080034,11.814784,-9.314542,-26.589939,-20.358726,5.574158,27.855633,27.933554,9.624177,-8.069315,-12.244115,-6.781138,-2.917887,-4.27483,-4.916561,-0.473412,4.038091,0.321411,-11.548062,-21.708983,-21.83776,-15.121783,-12.092581,-17.104132,-22.129406,-15.956386,1.769962,18.344737,20.687259,8.832192,-4.569091,-7.597663,-0.248962,8.110652,10.814627,11.365219,18.259572,33.351157,46.701205,43.968737,19.81358,-15.105346,-40.458248,-41.447171,-20.677142,3.551943,12.13502,1.268629,-14.688367,-17.348662,-3.015161,12.594046,9.930046,-12.955166,-35.591032,-33.922412,-5.014664,28.029428,37.351754,16.986223,-12.018577,-22.679181,-7.264895,18.24379,32.194459,26.944974,11.077328,-3.651364,-13.278736,-19.851882,-23.438103,-20.385046,-9.56903,3.154427,9.383041,6.35156,-1.200024,-7.058736,-9.154422,-8.352613,-4.304525,3.9962,13.447456,16.467551,8.869719,-2.720701,-5.332255,6.054001,20.462679,20.701014,2.24972,-19.744082,-24.597039,-7.049714,17.295404,27.466121,16.596742,-4.180655,-18.669213,-19.715206,-11.37708,-1.46138,4.815063,5.3457,0.142436,-7.498549,-10.939095,-5.25729,6.438728,14.051841,10.201835,-1.515104
2211,5.008839,12.691886,19.014106,21.84911,20.579458,15.414019,7.021902,-3.202117,-13.11652,-20.514615,-23.90718,-22.838691,-18.019321,-11.546888,-6.512633,-5.252626,-7.275439,-9.250501,-7.83192,-2.739882,3.325992,7.951843,11.559532,16.001422,20.843405,22.203158,16.303548,4.211457,-7.642145,-12.273286,-7.834227,1.017716,6.925199,5.265539,-2.85423,-11.637454,-14.722194,-9.904818,-1.192072,4.165073,2.19864,-3.45198,-4.611774,2.827224,13.543313,17.388857,10.086064,-1.573122,-6.508382,-1.223265,6.477033,6.337299,-2.861987,-12.188743,-12.794605,-5.498586,1.013451,0.528741,-4.145732,-5.395249,0.11656,8.149991,12.125402,9.779049,3.968674,-1.570872,-5.426175,-7.731751,-8.309743,-6.992021,-4.966658,-4.035468,-4.143277,-2.971997,0.888161,4.993297,4.841066,-0.807202,-7.349986,-8.259819,-1.713712,7.248659,11.380269,7.747288,-0.267051,-6.578154,-7.35548,-2.970246,3.585987,9.459091,13.61629,16.658366,19.190281,20.225478,17.554204,10.423406,1.793915,-3.320827,-2.903197,-0.903362,-3.718736,-13.192372,-24.229149,-30.338091,-30.511107,-28.644538,-26.347437,-19.556002,-5.147226,10.550536,14.842553,3.406336,-10.541044,-7.36886,16.27329,39.245376,35.493257,2.985643,-30.319547,-32.7714,-0.96598,36.799131,49.027904,30.588756,3.107675,-10.523667,-7.355835,-0.270269,1.406624,1.368338,6.837335,15.504589,16.731899,4.909445,-12.590764,-22.746299,-20.18604,-10.996926,-4.437036,-3.943817,-7.040319,-11.049419,-15.538862,-19.444823,-19.254893,-12.512709,-2.13778,5.227105,5.876007,2.686299,1.218237,3.214264,5.399515,4.383626,1.013,-0.860203,1.320824,7.025809,14.35393,21.54023,26.313772,25.784735,19.097533,9.79911,3.264167,0.653407,-2.994812,-12.526018,-24.794558,-29.577351,-20.206525,-2.401941,9.752884,7.47263,-4.185307,-12.28534
2212,20.043524,18.188952,13.573075,13.276024,14.975047,9.44065,-6.871538,-25.126344,-32.593027,-26.861964,-18.736626,-19.82801,-29.046458,-33.772885,-24.652488,-7.278595,2.713168,-3.593236,-17.529823,-19.777909,1.092865,36.380107,63.258906,63.72152,39.166533,7.79335,-11.72633,-14.340268,-7.940499,-1.132924,5.731911,16.52022,28.684553,31.01633,14.913536,-13.106123,-33.742785,-32.262894,-13.083636,4.501057,5.15244,-9.126679,-23.954026,-27.974023,-21.14815,-9.790973,1.56136,10.775267,13.959434,6.588957,-9.111632,-21.521377,-19.031525,-2.620239,14.039298,18.71186,12.809829,7.236054,7.818084,9.329182,5.319414,-0.54597,1.58279,12.631071,19.265034,8.408669,-14.624439,-28.142914,-16.811861,10.531083,29.469786,25.670307,8.152861,-3.99158,-3.944012,-1.839179,-8.429643,-20.086194,-23.887314,-14.933708,-2.98835,-0.292703,-6.726407,-11.122174,-6.242007,2.218901,3.746692,-2.777987,-7.076094,-0.016623,15.052543,25.747164,23.99723,13.352352,3.056398,-2.293118,-5.189084,-8.734173,-10.775912,-5.909007,7.58727,23.900636,32.676149,25.945788,3.946415,-23.588779,-42.083737,-41.459748,-24.375303,-5.32408,1.395111,-4.831805,-10.123687,-0.989343,19.411452,31.825244,19.906492,-11.182652,-36.758683,-34.675095,-5.970458,26.115096,37.176531,22.098047,-3.211301,-17.707737,-12.353403,5.733133,22.36001,28.101346,23.209562,14.123616,6.829607,2.985444,0.83198,-1.423182,-3.620415,-4.863601,-6.031863,-10.033869,-18.697574,-29.367636,-35.389234,-30.964206,-16.213902,2.179478,15.264883,17.438885,9.468402,-2.431417,-10.538645,-10.592106,-4.872756,-0.385536,-2.208841,-7.422525,-6.604434,6.638242,27.087965,40.427122,36.138559,18.075899,1.147223,-2.898576,4.313886,11.786053,11.595796,5.476333,-0.392965,-4.001858,-8.492186,-15.604006,-21.489728,-20.887566,-13.997035,-6.744408
